article_id,published_on,category,kind,match_ids,source_url,retrieved_at_jst
21431,2026-09-18,スポンサー,,,https://www.sanga-fc.jp/news/detail/21431,2026-09-19T01:51:04+09:00
21428,2026-09-18,グッズ,グッズの発売,,https://www.sanga-fc.jp/news/detail/21428,2026-09-19T01:51:04+09:00
21425,2026-09-18,チケット,チケットの販売,sec09,https://www.sanga-fc.jp/news/detail/21425,2026-09-19T01:51:04+09:00
21412,2026-09-18,クラブ,,,https://www.sanga-fc.jp/news/detail/21412,2026-09-19T01:51:04+09:00
21410,2026-09-18,試合情報,場内の催し,sec09,https://www.sanga-fc.jp/news/detail/21410,2026-09-19T01:51:04+09:00
21406,2026-09-18,試合情報,チケットの販売,sec09,https://www.sanga-fc.jp/news/detail/21406,2026-09-19T01:51:04+09:00
21400,2026-09-18,ファンクラブ,,,https://www.sanga-fc.jp/news/detail/21400,2026-09-19T01:51:04+09:00
21435,2026-09-17,トップチーム,,,https://www.sanga-fc.jp/news/detail/21435,2026-09-19T01:51:04+09:00
21434,2026-09-17,トップチーム,,,https://www.sanga-fc.jp/news/detail/21434,2026-09-19T01:51:04+09:00
21433,2026-09-17,グッズ,グッズの発売,,https://www.sanga-fc.jp/news/detail/21433,2026-09-19T01:51:04+09:00
21413,2026-09-17,試合情報,場内の催し,sec09,https://www.sanga-fc.jp/news/detail/21413,2026-09-19T01:51:04+09:00
21405,2026-09-17,試合情報,応募・抽選,sec09,https://www.sanga-fc.jp/news/detail/21405,2026-09-19T01:51:04+09:00
21392,2026-09-17,チケット,チケットの販売,acl-md2,https://www.sanga-fc.jp/news/detail/21392,2026-09-19T01:51:04+09:00
21338,2026-09-17,クラブ,,,https://www.sanga-fc.jp/news/detail/21338,2026-09-19T01:51:04+09:00
21277,2026-09-17,試合情報,冠デー,,https://www.sanga-fc.jp/news/detail/21277,2026-09-19T01:51:04+09:00
21427,2026-09-16,アカデミー,,,https://www.sanga-fc.jp/news/detail/21427,2026-09-19T01:51:04+09:00
21414,2026-09-16,チケット,応募・抽選,sec09 sec13,https://www.sanga-fc.jp/news/detail/21414,2026-09-19T01:51:04+09:00
21409,2026-09-16,トップチーム,,,https://www.sanga-fc.jp/news/detail/21409,2026-09-19T01:51:04+09:00
21408,2026-09-16,トップチーム,場内の催し,,https://www.sanga-fc.jp/news/detail/21408,2026-09-19T01:51:04+09:00
21422,2026-09-15,アカデミー,,,https://www.sanga-fc.jp/news/detail/21422,2026-09-19T01:51:04+09:00
21420,2026-09-15,ホームタウン活動,,,https://www.sanga-fc.jp/news/detail/21420,2026-09-19T01:51:04+09:00
21419,2026-09-14,グッズ,変更・お詫び,,https://www.sanga-fc.jp/news/detail/21419,2026-09-19T01:51:04+09:00
21418,2026-09-14,グッズ,グッズの発売,sec08,https://www.sanga-fc.jp/news/detail/21418,2026-09-19T01:51:04+09:00
21368,2026-09-13,試合情報,チケットの販売,acl-md1,https://www.sanga-fc.jp/news/detail/21368,2026-09-19T01:51:04+09:00
21416,2026-09-10,グッズ,場内の催し,sec07,https://www.sanga-fc.jp/news/detail/21416,2026-09-19T01:51:04+09:00
21415,2026-09-10,チケット,当日券,sec07,https://www.sanga-fc.jp/news/detail/21415,2026-09-19T01:51:04+09:00
21411,2026-09-09,試合情報,交通・駐車,sec07,https://www.sanga-fc.jp/news/detail/21411,2026-09-19T01:51:04+09:00
21407,2026-09-09,グッズ,変更・お詫び,,https://www.sanga-fc.jp/news/detail/21407,2026-09-19T01:51:04+09:00
21404,2026-09-09,グッズ,,,https://www.sanga-fc.jp/news/detail/21404,2026-09-19T01:51:04+09:00
21403,2026-09-09,グッズ,グッズの発売,sec07,https://www.sanga-fc.jp/news/detail/21403,2026-09-19T01:51:04+09:00
21402,2026-09-09,グッズ,グッズの発売,sec07,https://www.sanga-fc.jp/news/detail/21402,2026-09-19T01:51:04+09:00
21395,2026-09-09,試合情報,,sec07,https://www.sanga-fc.jp/news/detail/21395,2026-09-19T01:51:04+09:00
21389,2026-09-09,試合情報,,,https://www.sanga-fc.jp/news/detail/21389,2026-09-19T01:51:04+09:00
21388,2026-09-09,試合情報,交通・駐車,sec14,https://www.sanga-fc.jp/news/detail/21388,2026-09-19T01:51:04+09:00
21383,2026-09-09,グッズ,グッズの発売,,https://www.sanga-fc.jp/news/detail/21383,2026-09-19T01:51:04+09:00
21374,2026-09-09,試合情報,場内の催し,sec07,https://www.sanga-fc.jp/news/detail/21374,2026-09-19T01:51:04+09:00
21401,2026-09-08,ファンクラブ,,,https://www.sanga-fc.jp/news/detail/21401,2026-09-19T01:51:04+09:00
21399,2026-09-08,グッズ,グッズの発売,,https://www.sanga-fc.jp/news/detail/21399,2026-09-19T01:51:04+09:00
21398,2026-09-08,アカデミー,,,https://www.sanga-fc.jp/news/detail/21398,2026-09-19T01:51:04+09:00
21396,2026-09-08,試合情報,交通・駐車,sec07,https://www.sanga-fc.jp/news/detail/21396,2026-09-19T01:51:04+09:00
21387,2026-09-08,チケット,チケットの販売,,https://www.sanga-fc.jp/news/detail/21387,2026-09-19T01:51:04+09:00
21385,2026-09-08,アカデミー,,,https://www.sanga-fc.jp/news/detail/21385,2026-09-19T01:51:04+09:00
21384,2026-09-08,トップチーム,,,https://www.sanga-fc.jp/news/detail/21384,2026-09-19T01:51:04+09:00
21394,2026-09-07,トップチーム,,,https://www.sanga-fc.jp/news/detail/21394,2026-09-19T01:51:04+09:00
21391,2026-09-07,トップチーム,,,https://www.sanga-fc.jp/news/detail/21391,2026-09-19T01:51:04+09:00
21382,2026-09-07,ファンクラブ,応募・抽選,sec09,https://www.sanga-fc.jp/news/detail/21382,2026-09-19T01:51:04+09:00
21380,2026-09-07,試合情報,応募・抽選,sec07,https://www.sanga-fc.jp/news/detail/21380,2026-09-19T01:51:04+09:00
21379,2026-09-07,試合情報,,sec07,https://www.sanga-fc.jp/news/detail/21379,2026-09-19T01:51:04+09:00
21376,2026-09-07,クラブ,,,https://www.sanga-fc.jp/news/detail/21376,2026-09-19T01:51:04+09:00
21372,2026-09-07,試合情報,,,https://www.sanga-fc.jp/news/detail/21372,2026-09-19T01:51:04+09:00
