# 出典: 公式の背番号一覧画像（docs/sources/players-numbers.jpeg）と、クラブの選手一覧（docs/sources/kyoto_sanga_players_detailed.csv）
# ローマ字名は背番号一覧画像の表記に合わせています。日本語名とポジションは選手一覧の記載どおりです。
# 国籍は選手一覧の出生地から判断しています（ブラジル→br、大韓民国→kr、国内の都道府県→jp）。
# 36 ファンティーニ 燦 はイタリア出身ですが、確認のうえ jp としています。
# 出生地と国籍は必ずしも一致しないため、正確を期す場合は公式の表記を確認してください。
# 背番号90 ハウス と 62 志知 孝明 は背番号一覧画像に無いため、タイル画像を tools/compose-player-number.js で作成しています。
# 62 志知 孝明 は2026/9/7にサンフレッチェ広島から完全移籍で加入しました（出典: https://www.sanga-fc.jp/news/detail/21394）。
# 背番号2 福田 心之助 は2026/9/5にレギア・ワルシャワへ期限付き移籍（2027/6/30まで）のため、選手一覧から外しています（出典: https://www.sanga-fc.jp/news/detail/21390）。
# 背番号83 パーサ と 510 コトノ はマスコットです。
背番号,ローマ字名,日本語名,かな,省略名,ポジション,国籍,画像,マスコット
1,GAKUJI,太田 岳志,,太田,GK,jp,,
5,API,アピアタウィア 久,,アピ,DF,jp,,
6,JOÃO PEDRO,ジョアン ペドロ,,JP,MF,br,,
7,MASAYA,奥川 雅也,,奥川,MF,jp,,
8,YONEMOTO,米本 拓司,,米本,MF,jp,,
9,RAFAEL,ラファエル エリアス,,ラファエル,FW,br,,
10,SHIMPEI,福岡 慎平,,福岡,MF,jp,,
11,M.TÚLIO,マルコ トゥーリオ,,マルコ,FW,br,,
14,THIAGO,チアゴ,,チアゴ,MF,br,,
15,NAGATA,永田 倖大,,永田,DF,jp,,
16,TAIYO,平岡 大陽,,平岡,MF,jp,,
17,ALEX SOUZA,アレックス ソウザ,,ソウザ,FW,br,,
18,TEMMA,松田 天馬,,松田,MF,jp,,
19,DAVID,デイビッジ シルバ,,デイビッジ,FW,br,,
21,KAKOI,圍 謙太朗,,圍,GK,jp,,
23,KATO,加藤 拓己,,加藤,FW,jp,,
25,YOON,尹 星俊,,ユン,MF,kr,,
26,REN,加藤 蓮,,加藤蓮,DF,jp,,
29,KOU,酒井 滉生,,酒井,FW,jp,,
31,HIRAGA,平賀 大空,,平賀,FW,jp,,
32,SAITO,齊藤 未月,,齊藤,MF,jp,,
34,H.TREVISAN,エンリケ トレヴィザン,,トレヴィザン,DF,br,,
36,FANTINI,ファンティーニ 燦,,ファンティ,GK,jp,,
38,E.MACEIÓ,エベルトン マセイオ,,マセイオ,FW,br,,
39,TAIKI,平戸 太貴,,平戸,MF,jp,,
40,ISHIDA,石田 侑資,,石田,DF,jp,,
43,WEVERTON,ウェベルトン,,ウェベルトン,DF,br,,
44,KYO,佐藤 響,,佐藤,MF,jp,,
48,NAKANO,中野 瑠馬,,中野,MF,jp,,
50,NORI,鈴木 義宜,,鈴木,DF,jp,,
60,YAMANAKA,山中 亮輔,,山中,DF,jp,,
77,HARUKI,新井 晴樹,,新井,MF,jp,,
90,HAUS,ハウス,,ハウス,GK,br,,
93,NAGASAWA,長沢 駿,,長沢,FW,jp,,
94,MURAKAMI,村上 昌謙,,村上,GK,jp,,
99,FUCHI,本田 風智,,本田,MF,jp,,
62,SHICHI,志知 孝明,しち たかあき,志知,DF,jp,,
83,PURSA,パーサ,,パーサ,,jp,,true
510,KOTONO,コトノ,,コトノ,,jp,,true
