ID,表示順,大会,大会表示,節,開催年,開催日,候補日,キックオフ時刻,状態,試合状態,ホームアウェイ,ホームアウェイ表示,対戦相手,対戦相手コード,会場,京都得点,相手得点,結果,チケットURL,イベントURL,放送配信,放送配信URL,注記番号,注記,公開メモ,SNS用短縮タイトル,表示フラグ,根拠URL,確認日,メモ
sec01,1,J1,明治安田J1リーグ,第1節,2026,,2026-08-08|2026-08-09,,未確定,試合前,A,アウェイ,長崎,vvaren,未定,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec02,2,J1,明治安田J1リーグ,第2節,2026,,2026-08-15|2026-08-16,,未確定,試合前,A,アウェイ,川崎F,frontale,未定,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec03,3,J1,明治安田J1リーグ,第3節,2026,,2026-08-22|2026-08-23,,未確定,試合前,H,ホーム,水戸,mito,サンガスタジアム,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec39,4,EMP,天皇杯 JFA 第106回全日本サッカー選手権大会,2回戦,2026,2026-08-26,,19:00,確定,試合前,H,ホーム,広島県代表と愛知県代表の勝者,,たけびしスタジアム京都,,,,,,,,,天皇杯 JFA 第106回全日本サッカー選手権大会 2回戦,,天皇杯 2回戦,表示,https://www.sanga-fc.jp/news/detail/20976,2026-06-22,
sec04,5,J1,明治安田J1リーグ,第4節,2026,,2026-08-29|2026-08-30,,未確定,試合前,H,ホーム,福岡,avispa,サンガスタジアム,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec05,6,J1,明治安田J1リーグ,第5節,2026,2026-09-02,,,確定,試合前,A,アウェイ,横浜FM,marinos,未定,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec06,7,J1,明治安田J1リーグ,第6節,2026,,2026-09-05|2026-09-06,,未確定,試合前,A,アウェイ,FC東京,fctokyo,未定,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec07,8,J1,明治安田J1リーグ,第7節,2026,,2026-09-12|2026-09-13,,未確定,試合前,H,ホーム,柏,reysol,サンガスタジアム,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec08,9,J1,明治安田J1リーグ,第8節,2026,,2026-09-19|2026-09-20,,未確定,試合前,A,アウェイ,岡山,fagiano,未定,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec40,10,EMP,天皇杯 JFA 第106回全日本サッカー選手権大会,3回戦,2026,,2026-09-23|2026-10-07,,未確定,試合前,,,未定,,未定,,,,,,,,,勝ち上がり前提,,天皇杯 3回戦,表示,https://www.sanga-fc.jp/news/detail/20976,2026-06-22,
sec45,11,LEV,2026/27 JリーグYBCルヴァンカップ,4回戦,2026,,2026-10-03|2026-10-04,,未確定,試合前,A,アウェイ,FC町田ゼルビア,machida,未定,,,,,,,,,2026/27 JリーグYBCルヴァンカップ 4回戦,,ルヴァン杯 4回戦,表示,https://www.sanga-fc.jp/news/detail/21171,2026-06-22,
sec09,12,J1,明治安田J1リーグ,第9節,2026,,2026-10-10|2026-10-11,,未確定,試合前,H,ホーム,町田,machida,サンガスタジアム,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec10,13,J1,明治安田J1リーグ,第10節,2026,,2026-10-17|2026-10-18,,未確定,試合前,A,アウェイ,広島,sanfrecce,未定,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec11,14,J1,明治安田J1リーグ,第11節,2026,2026-10-21,,,確定,試合前,H,ホーム,鹿島,antlers,サンガスタジアム,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec12,15,J1,明治安田J1リーグ,第12節,2026,,2026-10-24|2026-10-25,,未確定,試合前,A,アウェイ,G大阪,gamba,未定,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec13,16,J1,明治安田J1リーグ,第13節,2026,,2026-10-31|2026-11-01,,未確定,試合前,H,ホーム,清水,spulse,サンガスタジアム,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec14,17,J1,明治安田J1リーグ,第14節,2026,,2026-11-07|2026-11-08,,未確定,試合前,A,アウェイ,名古屋,grampus,未定,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec46,18,LEV,2026/27 JリーグYBCルヴァンカップ,準々決勝 第1戦,2026,2026-11-11,,,未確定,試合前,,,未定,,未定,,,,,,,,,勝ち上がり前提,,ルヴァン杯 準々決勝 第1戦,表示,https://www.sanga-fc.jp/news/detail/21171,2026-06-22,
sec47,19,LEV,2026/27 JリーグYBCルヴァンカップ,準々決勝 第2戦,2026,2026-11-15,,,未確定,試合前,,,未定,,未定,,,,,,,,,勝ち上がり前提,,ルヴァン杯 準々決勝 第2戦,表示,https://www.sanga-fc.jp/news/detail/21171,2026-06-22,
sec15,20,J1,明治安田J1リーグ,第15節,2026,,2026-11-21|2026-11-22,,未確定,試合前,H,ホーム,浦和,urawa,サンガスタジアム,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec17,21,J1,明治安田J1リーグ,第17節,2026,,2026-11-28|2026-11-29,,未確定,試合前,H,ホーム,C大阪,cerezo,サンガスタジアム,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec18,22,J1,明治安田J1リーグ,第18節,2026,,2026-12-05|2026-12-06,,未確定,試合前,A,アウェイ,東京V,verdy,未定,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec41,23,EMP,天皇杯 JFA 第106回全日本サッカー選手権大会,ラウンド16,2026,2026-12-09,,,未確定,試合前,,,未定,,未定,,,,,,,,,勝ち上がり前提,,天皇杯 R16,表示,https://www.sanga-fc.jp/news/detail/20976,2026-06-22,
sec19,24,J1,明治安田J1リーグ,第19節,2026,,2026-12-12|2026-12-13,,未確定,試合前,H,ホーム,千葉,jef,サンガスタジアム,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec16,25,J1,明治安田J1リーグ,第16節,2026,,,,未確定,試合前,H,ホーム,神戸,vissel,サンガスタジアム,,,,,,,,※1,※1: 26/12/16(水)もしくは27/4/14(水)のいずれかで開催予定です。,,,表示,https://www.sanga-fc.jp/news/detail/21152,2026-06-18,
sec20,26,J1,明治安田J1リーグ,第20節,2026,2026-12-19,,,確定,試合前,H,ホーム,岡山,fagiano,サンガスタジアム,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec42,27,EMP,天皇杯 JFA 第106回全日本サッカー選手権大会,準々決勝,2026,2026-12-23,,,未確定,試合前,,,未定,,未定,,,,,,,,,勝ち上がり前提,,天皇杯 準々決勝,表示,https://www.sanga-fc.jp/news/detail/20976,2026-06-22,
sec43,28,EMP,天皇杯 JFA 第106回全日本サッカー選手権大会,準決勝,2026,2026-12-27,,,未確定,試合前,,,未定,,未定,,,,,,,,,勝ち上がり前提,,天皇杯 準決勝,表示,https://www.sanga-fc.jp/news/detail/20976,2026-06-22,
sec44,29,EMP,天皇杯 JFA 第106回全日本サッカー選手権大会,決勝,2027,2027-01-01,,,未確定,試合前,,,未定,,未定,,,,,,,,,勝ち上がり前提,,天皇杯 決勝,表示,https://www.sanga-fc.jp/news/detail/20976,2026-06-22,
sec21,30,J1,明治安田J1リーグ,第21節,2027,,2027-02-13|2027-02-14,,未確定,試合前,H,ホーム,横浜FM,marinos,サンガスタジアム,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec22,31,J1,明治安田J1リーグ,第22節,2027,,2027-02-20|2027-02-21,,未確定,試合前,A,アウェイ,清水,spulse,未定,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec23,32,J1,明治安田J1リーグ,第23節,2027,,2027-02-27|2027-02-28,,未確定,試合前,H,ホーム,東京V,verdy,サンガスタジアム,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec24,33,J1,明治安田J1リーグ,第24節,2027,,2027-03-06|2027-03-07,,未確定,試合前,H,ホーム,FC東京,fctokyo,サンガスタジアム,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec25,34,J1,明治安田J1リーグ,第25節,2027,,2027-03-10,,未確定,試合前,A,アウェイ,柏,reysol,未定,,,,,,,,※2,※2: 27/2/24(水)に開催する可能性があります。,,,表示,https://www.sanga-fc.jp/news/detail/21152,2026-06-18,
sec26,35,J1,明治安田J1リーグ,第26節,2027,,2027-03-13|2027-03-14,,未確定,試合前,H,ホーム,川崎F,frontale,サンガスタジアム,,,,,,,,※3,※3: 27/3/3(水)もしくは4/7(水)に開催する可能性があります。,,,表示,https://www.sanga-fc.jp/news/detail/21152,2026-06-18,
sec27,36,J1,明治安田J1リーグ,第27節,2027,,2027-03-20|2027-03-21,,未確定,試合前,A,アウェイ,C大阪,cerezo,未定,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec48,37,LEV,2026/27 JリーグYBCルヴァンカップ,準決勝 第1戦,2027,2027-03-24,,,未確定,試合前,,,未定,,未定,,,,,,,,,勝ち上がり前提,,ルヴァン杯 準決勝 第1戦,表示,https://www.sanga-fc.jp/news/detail/21171,2026-06-22,
sec49,38,LEV,2026/27 JリーグYBCルヴァンカップ,準決勝 第2戦,2027,2027-03-28,,,未確定,試合前,,,未定,,未定,,,,,,,,,勝ち上がり前提,,ルヴァン杯 準決勝 第2戦,表示,https://www.sanga-fc.jp/news/detail/21171,2026-06-22,
sec28,39,J1,明治安田J1リーグ,第28節,2027,,2027-04-03|2027-04-04,,未確定,試合前,H,ホーム,長崎,vvaren,サンガスタジアム,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec29,40,J1,明治安田J1リーグ,第29節,2027,,2027-04-10|2027-04-11,,未確定,試合前,A,アウェイ,千葉,jef,未定,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec30,41,J1,明治安田J1リーグ,第30節,2027,,2027-04-17|2027-04-18,,未確定,試合前,A,アウェイ,水戸,mito,未定,,,,,,,,,,,,表示,public/sanga202627season.html,2026-06-18,
sec31,42,J1,明治安田J1リーグ,第31節,2027,,2027-04-24|2027-04-25,,未確定,試合前,A,アウェイ,鹿島,antlers,未定,,,,,,,,※4,※4: ACL Elite出場クラブがACL Elite準々決勝進出の場合は、27/4/1(木)もしくは4/7(水)に開催する可能性があります。,,,表示,https://www.sanga-fc.jp/news/detail/21152,2026-06-18,
sec32,43,J1,明治安田J1リーグ,第32節,2027,,2027-04-29,,未確定,試合前,H,ホーム,G大阪,gamba,サンガスタジアム,,,,,,,,※5,※5: ACL Elite出場クラブがACL Elite準々決勝進出の場合は、27/5/19(水)に開催する可能性があります。,,,表示,https://www.sanga-fc.jp/news/detail/21152,2026-06-18,
