背番号,選手名,ポジション,出生地,生年月日,身長/体重,出場試合数,ゴール数
1,太田 岳志,GK,三重県,1990/12/26,190/85,15,0
2,福田 心之助,DF,北海道,2000/09/04,174/70,52,2
5,アピアタウィア 久,DF,愛知県,1998/10/18,191/83,68,2
6,ジョアン ペドロ,MF,ブラジル,1997/01/29,178/74,12,0
7,奥川 雅也,MF,滋賀県,1996/04/14,177/68,18,3
8,米本 拓司,MF,兵庫県,1990/12/03,177/72,350,9
9,ラファエル エリアス,FW,ブラジル,1999/04/12,178/78,16,7
10,福岡 慎平,MF,奈良県,2000/06/27,170/66,140,6
11,マルコ トゥーリオ,FW,ブラジル,1998/03/13,180/75,32,5
14,チアゴ,MF,ブラジル,1995/03/28,175/70,8,0
15,永田 倖大,DF,宮崎県,2002/09/08,180/73,5,0
16,平岡 大陽,MF,兵庫県,2002/06/30,172/65,75,5
17,アレックス ソウザ,FW,ブラジル,2001/03/15,183/79,10,1
18,松田 天馬,MF,熊本県,2000/06/11,164/62,190,12
19,デイビッジ シルバ,FW,ブラジル,1998/11/20,182/77,4,0
21,圍 謙太朗,GK,長崎県,1991/04/23,190/90,45,0
23,加藤 拓己,FW,茨城県,1999/07/16,181/84,15,1
25,尹 星俊,MF,大韓民国,2003/01/10,176/68,2,0
26,加藤 蓮,DF,北海道,1999/12/28,175/70,60,3
29,酒井 滉生,FW,福岡県,2002/05/18,173/68,3,0
31,平賀 大空,FW,兵庫県,2005/03/02,172/64,18,1
32,齊藤 未月,MF,神奈川県,1999/01/10,166/66,130,4
34,エンリケ トレヴィザン,DF,ブラジル,1997/01/20,185/80,70,3
36,ファンティーニ 燦,GK,イタリア,1998/05/23,186/82,8,0
38,エベルトン マセイオ,FW,ブラジル,2003/02/14,176/72,1,0
39,平戸 太貴,MF,茨城県,1997/04/18,177/68,180,28
40,石田 侑資,DF,徳島県,2002/11/11,175/71,25,0
43,ウェベルトン,DF,ブラジル,2002/05/06,187/81,2,0
44,佐藤 響,MF,埼玉県,1999/03/21,168/65,65,3
48,中野 瑠馬,MF,京都府,2002/10/06,167/63,12,1
50,鈴木 義宜,DF,宮崎県,1992/09/11,184/72,290,11
60,山中 亮輔,DF,千葉県,1993/04/20,171/65,210,9
77,新井 晴樹,MF,埼玉県,1998/04/12,173/64,40,2
90,ハウス,GK,ブラジル,1998/08/21,192/88,0,0
93,長沢 駿,FW,静岡県,1988/09/25,192/82,310,72
94,村上 昌謙,GK,滋賀県,1992/08/07,185/80,110,0
99,本田 風智,MF,福岡県,2001/05/10,170/64,85,8
