season,competition,round,match_date_raw,match_date,match_date_candidates,kickoff,opponent,entry_group,sale_type,sale_start,official_display_status,schedule_status,schedule_note,source_url,retrieved_at_jst
2030/31,架空リーグ,1,8.10 (土),2030-08-10,,19:00,テスト第一クラブ,ticket_sale,シーズンパス先行受付（ホーム指定席をご購入の方）,2030-07-13T11:00:00+09:00,,掲載済み,,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,1,8.10 (土),2030-08-10,,19:00,テスト第一クラブ,ticket_sale,SC最速先行販売（プラチナ）,2030-07-15T12:00:00+09:00,,掲載済み,,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,1,8.10 (土),2030-08-10,,19:00,テスト第一クラブ,ticket_sale,SC先々行販売（ゴールド）,2030-07-17T12:00:00+09:00,,掲載済み,,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,1,8.10 (土),2030-08-10,,19:00,テスト第一クラブ,ticket_sale,SC先行販売（レギュラー・キッズ）,2030-07-19T12:00:00+09:00,,掲載済み,,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,1,8.10 (土),2030-08-10,,19:00,テスト第一クラブ,ticket_sale,一般販売,2030-07-20T12:00:00+09:00,,掲載済み,,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,1,8.10 (土),2030-08-10,,19:00,テスト第一クラブ,sc_benefit_exchange,SC特典チケット引換 プラチナ,2030-07-15T12:00:00+09:00,,掲載済み,,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,1,8.10 (土),2030-08-10,,19:00,テスト第一クラブ,sc_benefit_exchange,SC特典チケット引換 ゴールド,2030-07-17T12:00:00+09:00,,掲載済み,,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,1,8.10 (土),2030-08-10,,19:00,テスト第一クラブ,sc_benefit_exchange,SC特典チケット引換 レギュラー・キッズ,2030-07-19T12:00:00+09:00,,掲載済み,,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,2,3.6(土) or 3.7(日),,2031-03-06|2031-03-07,,テスト第二クラブ,ticket_sale,シーズンパス先行受付（ホーム指定席をご購入の方）,2031-02-07T11:00:00+09:00,受付中,掲載済み,,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,2,3.6(土) or 3.7(日),,2031-03-06|2031-03-07,,テスト第二クラブ,ticket_sale,SC最速先行販売（プラチナ）,2031-02-09T12:00:00+09:00,販売中,掲載済み,,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,2,3.6(土) or 3.7(日),,2031-03-06|2031-03-07,,テスト第二クラブ,ticket_sale,SC先々行販売（ゴールド）,2031-02-11T12:00:00+09:00,,掲載済み,,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,2,3.6(土) or 3.7(日),,2031-03-06|2031-03-07,,テスト第二クラブ,ticket_sale,SC先行販売（レギュラー・キッズ）,2031-02-13T12:00:00+09:00,,掲載済み,,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,2,3.6(土) or 3.7(日),,2031-03-06|2031-03-07,,テスト第二クラブ,ticket_sale,一般販売,2031-02-14T12:00:00+09:00,,掲載済み,,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,2,3.6(土) or 3.7(日),,2031-03-06|2031-03-07,,テスト第二クラブ,sc_benefit_exchange,SC特典チケット引換 プラチナ,2031-02-09T12:00:00+09:00,受付中,掲載済み,,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,2,3.6(土) or 3.7(日),,2031-03-06|2031-03-07,,テスト第二クラブ,sc_benefit_exchange,SC特典チケット引換 ゴールド,2031-02-11T12:00:00+09:00,,掲載済み,,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,2,3.6(土) or 3.7(日),,2031-03-06|2031-03-07,,テスト第二クラブ,sc_benefit_exchange,SC特典チケット引換 レギュラー・キッズ,2031-02-13T12:00:00+09:00,,掲載済み,,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,3,日程未定,,,,テスト第三クラブ,,,,,未掲載,試合開催日決定後、チケット販売スケジュールをお知らせ,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
2030/31,架空リーグ,4,4.12 (土),2031-04-12,,14:00,テスト第四クラブ,,,,,未掲載,公式販売スケジュールページに販売日程の記載なし,https://www.sanga-fc.jp/ticket/schedule,2030-07-01T10:00:00+09:00
